Matricola,Data del calcolo,Bioritmo Fisico,Bioritmo Emotivo,Bioritmo Intellettuale
19281,12/01/2024,99.52,2.47,99.96
19281,13/01/2024,99.00,6.04,100.00
19566,12/01/2024,63.59,84.40,99.04
19566,13/01/2024,66.88,82.43,99.42
19609,12/01/2024,41.59,77.19,76.45
19609,13/01/2024,37.60,79.41,74.46
19551,12/01/2024,-48.50,36.11,-99.34
19551,13/01/2024,-52.26,32.76,-98.95
19290,12/01/2024,-0.58,94.54,53.72
19290,13/01/2024,-4.93,95.65,51.14
19513,12/01/2024,-80.73,-85.39,-27.06
19513,13/01/2024,-78.09,-87.19,-24.13
19767,12/01/2024,-91.51,-5.18,-23.93
19767,13/01/2024,-89.67,-1.61,-26.86
19734,12/01/2024,-69.50,-86.83,57.03
19734,13/01/2024,-72.56,-85.01,54.51
20008,12/01/2024,-75.48,-83.07,51.95
20008,13/01/2024,-78.26,-81.03,49.34
19977,12/01/2024,35.53,88.37,-88.18
19977,13/01/2024,31.43,86.64,-89.57
20012,12/01/2024,-52.26,32.76,-98.95
20012,13/01/2024,-55.91,29.36,-98.46
19739,12/01/2024,70.30,46.32,34.56
19739,13/01/2024,73.32,43.13,37.39
19990,12/01/2024,-34.74,-58.75,33.58
19990,13/01/2024,-38.78,-61.61,36.42
19948,12/01/2024,16.62,-19.81,-2.12
19948,13/01/2024,12.32,-23.30,0.91
19791,12/01/2024,-26.46,-52.83,27.81
19791,13/01/2024,-30.63,-55.83,30.71
19842,12/01/2024,66.94,59.06,88.30
19842,13/01/2024,63.64,61.90,86.84
19771,12/01/2024,100.00,-16.05,78.23
19771,13/01/2024,99.94,-19.57,80.08
19775,12/01/2024,65.26,97.98,-74.28
19775,13/01/2024,61.91,97.20,-76.27
20031,12/01/2024,61.91,97.20,-76.27
20031,13/01/2024,58.43,96.30,-78.20
19750,12/01/2024,-76.68,-80.88,99.45
19750,13/01/2024,-73.81,-78.73,99.09
19737,12/01/2024,-52.02,43.33,-61.78
19737,13/01/2024,-48.26,46.52,-64.13
19784,12/01/2024,99.69,-23.05,81.86
19784,13/01/2024,99.26,-26.51,83.56
19978,12/01/2024,58.43,96.30,-78.20
19978,13/01/2024,54.85,95.28,-80.05
19733,12/01/2024,97.83,-33.33,86.74
19733,13/01/2024,96.84,-36.67,88.21
19746,12/01/2024,97.83,-33.33,86.74
19746,13/01/2024,96.84,-36.67,88.21
19851,12/01/2024,49.24,8.62,-26.06
19851,13/01/2024,45.41,5.05,-23.12
19787,12/01/2024,-95.45,-98.15,82.98
19787,13/01/2024,-96.65,-98.77,84.64
20545,12/01/2024,88.32,61.71,10.20
20545,13/01/2024,90.28,64.48,7.18
